idx,words,lid,pos
217,"['Taimur' 'Ali' 'Khan' 'is' 'a' 'good' 'name' 'yr' '.' 'Atleast' 'meray'
 'jesi' 'romantic' 'novl' 'reader' 'ko' 'tu' 'acha' 'lg' 'rha' '.' ""Don't""
 'knw' 'y' 'sme' 'ppl' 'r' 'like' '""' 'eww' '""' 'ye' 'kia' 'nam' 'hai']","['rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'hi' 'rest' 'hi' 'hi' 'hi' 'en'
 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi']","['PROPN' 'PROPN' 'PROPN' 'VERB' 'DET' 'ADJ' 'NOUN' 'NOUN' 'X' 'ADV' 'VERB'
 'ADP' 'ADJ' 'NOUN' 'NOUN' 'ADP' 'PRON' 'ADJ' 'VERB' 'VERB' 'X' 'VERB'
 'VERB' 'PRON_WH' 'ADJ' 'NOUN' 'VERB' 'ADP' 'X' 'X' 'X' 'DET' 'PRON_WH'
 'NOUN' 'VERB']"
218,"['Welcome' 'to' 'the' 'world' 'this' 'beautiful' 'baby' 'Taimur' ','
 'congrats' 'to' '#SaifKareena' 'who' 'has' 'had' 'a' 'hero' 'in' 'life'
 '.' 'I' 'am' 'very' 'happy' 'to' 'hear' 'this' 'news' '.']","['en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'en' 'en' 'rest' 'en'
 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'rest']","['VERB' 'PART' 'DET' 'NOUN' 'DET' 'ADJ' 'NOUN' 'PROPN' 'X' 'PROPN' 'PART'
 'X' 'PRON_WH' 'VERB' 'VERB' 'DET' 'NOUN' 'ADP' 'NOUN' 'X' 'PRON' 'VERB'
 'ADV' 'ADJ' 'PART' 'VERB' 'DET' 'NOUN' 'X']"
219,"['in' 'just' 'few' 'hours' 'after' 'taking' 'birth' 'in' 'this' 'world'
 '#taimur' 'Ali' 'Khan' 'became' 'more' 'popular' 'thn' 'his' 'father'
 'saif' 'ali' 'Khan' 'aage' 'aur' 'kya' 'karega']","['en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest'
 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi']","['ADP' 'ADV' 'DET' 'NOUN' 'ADP' 'VERB' 'NOUN' 'ADP' 'DET' 'NOUN' 'X'
 'PROPN' 'PROPN' 'VERB' 'ADJ' 'NOUN' 'CONJ' 'PRON' 'NOUN' 'PROPN' 'PROPN'
 'PROPN' 'ADV' 'CONJ' 'PRON_WH' 'VERB']"
220,"['Breaking' 'news' '.' 'After' 'naming' 'first' 'child' '-' '""' 'Taimur'
 '""' 'Saifeena' 'decided' 'to' 'name' 'second' 'child' '-' '""' 'Kasab' '""'
 'Akhir' 'name' 'me' 'kya' 'rakha' 'he' '.']","['en' 'en' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'hi'
 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'hi' 'en' 'hi' 'hi'
 'hi' 'hi' 'rest']","['VERB' 'NOUN' 'X' 'ADP' 'VERB' 'ADV' 'NOUN' 'X' 'X' 'PROPN' 'X' 'NOUN'
 'VERB' 'PART' 'NOUN' 'ADJ' 'NOUN' 'X' 'X' 'PROPN' 'X' 'DET' 'NOUN' 'ADP'
 'PRON_WH' 'VERB' 'VERB' 'X']"
221,"['@TarekFatah' '@firstpost' 'chal' 'kuttay' 'wesay' 'eh' 'bhonk' 'raha'
 '..' 'bloody' 'attention' 'seeker' 'motherfucker' 'if' 'Taimur' 'is'
 'Hitler' 'then' 'what' 'about' 'Akbar' '?']","['rest' 'rest' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en'
 'en' 'rest' 'en' 'rest' 'en' 'en' 'en' 'rest' 'rest']","['X' 'X' 'VERB' 'NOUN' 'NOUN' 'PART' 'PART' 'VERB' 'X' 'ADJ' 'NOUN' 'NOUN'
 'NOUN' 'CONJ' 'PROPN' 'VERB' 'PROPN' 'ADV' 'PRON_WH' 'ADP' 'PROPN' 'X']"
222,"['@HeroCanBeAnyone' '@Vishu_CS' '@sudhirchaudhary' 'so' 'we' 'shud' 'not'
 'take' 'note' 'of' 'their' 'demnds' 'instd' 'v' 'shud' 'tweet' 'ki'
 'saif' 'k' 'bete' 'ka' 'naam' 'taimur' 'kyun' '?']","['rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'en' 'en' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'rest']","['X' 'X' 'X' 'CONJ' 'PRON' 'VERB' 'PART_NEG' 'VERB' 'NOUN' 'ADP' 'PRON'
 'NOUN' 'NOUN' 'PRON' 'VERB' 'NOUN' 'ADP' 'PROPN' 'ADP' 'NOUN' 'ADP'
 'NOUN' 'PROPN' 'PRON_WH' 'X']"
223,"['People' 'who' 'are' 'criticising' 'the' 'name' 'Taimur' ',' 'are' 'the'
 'same' 'ones' 'who' 'will' 'say' ',' ""'"" 'Hum' 'bhi' 'apne' 'bete' 'ka'
 'naam' 'taimur' 'rakhenge' '...' 'such' 'a' 'great' 'name' ""'""]","['en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'rest' 'en'
 'en' 'en' 'en' 'rest']","['NOUN' 'PRON_WH' 'VERB' 'VERB' 'DET' 'NOUN' 'PROPN' 'X' 'VERB' 'DET'
 'ADJ' 'NOUN' 'PRON_WH' 'VERB' 'VERB' 'X' 'X' 'PRON' 'PART' 'PRON' 'NOUN'
 'ADP' 'NOUN' 'PROPN' 'NOUN' 'X' 'ADJ' 'DET' 'ADJ' 'NOUN' 'X']"
224,"['Kareena' 'Kapoor' 's' 'baby' ':' 'This' 'is' 'how' 'daddy' 'Saif' 'Ali'
 'Khan' ',' 'maasi' 'Karisma' 'Kapoor' 'celebrated' 'Taimur' 's' 'arrival'
 ',' 'see' 'pics' 'https://t.co/a4bkJMOb25' 'https://t.co/e8ACeMm8Tj']","['rest' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest'
 'rest' 'hi' 'rest' 'rest' 'en' 'rest' 'en' 'en' 'rest' 'en' 'en' 'rest'
 'rest']","['PROPN' 'PROPN' 'X' 'NOUN' 'X' 'DET' 'VERB' 'PRON_WH' 'NOUN' 'PROPN'
 'PROPN' 'PROPN' 'X' 'PRON' 'PROPN' 'PROPN' 'VERB' 'PROPN' 'X' 'NOUN' 'X'
 'VERB' 'NOUN' 'X' 'X']"
225,"['Indians' 'are' 'trolling' 'Saif' 'Ali' 'Khan' '&' 'Kareena' 'for'
 'naming' 'their' 'son' ""'"" 'Taimur' ""'"" 'and' 'terming' 'it' 'as'
 'Jihaddi' '?' 'Abay' 'bc' 'pagal' 'wagal' 'ho' 'kia' '?' 'Chutiye' '.']","['rest' 'en' 'en' 'rest' 'rest' 'rest' 'hi' 'rest' 'en' 'en' 'en' 'en'
 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi'
 'hi' 'hi' 'rest' 'hi' 'rest']","['NOUN' 'VERB' 'NOUN' 'PROPN' 'PROPN' 'PROPN' 'CONJ' 'PROPN' 'ADP' 'VERB'
 'PRON' 'NOUN' 'X' 'PROPN' 'X' 'CONJ' 'VERB' 'PRON' 'ADP' 'NOUN' 'X'
 'PART' 'X' 'ADJ' 'NOUN' 'VERB' 'PRON_WH' 'X' 'NOUN' 'X']"
226,"['Congratulations' 'to' 'the' 'Kapoor' 'family' 'and' 'khan' 'family'
 'for' 'being' 'blessed' 'by' 'Taimur' 'Ali' 'Khan' '..' '@chintskap'
 'all' 'Kapoor' 'and' 'khan' 'fans' 'are' 'with' 'u' '.']","['en' 'en' 'en' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest'
 'rest' 'rest' 'rest' 'rest' 'en' 'rest' 'en' 'rest' 'en' 'en' 'en' 'en'
 'rest']","['NOUN' 'PART' 'DET' 'PROPN' 'NOUN' 'CONJ' 'PROPN' 'NOUN' 'ADP' 'VERB'
 'ADJ' 'ADP' 'PROPN' 'PROPN' 'PROPN' 'X' 'X' 'DET' 'PROPN' 'CONJ' 'PROPN'
 'NOUN' 'VERB' 'ADP' 'PRON' 'X']"
227,"['RT' '@Kashourr' ':' '@TarekFatah' '@KareenaOnline' 'ur' 'a' 'disgrace'
 '!' 'u' 'r' 'named' 'after' 'a' 'great' 'commader' ""'"" 'Tariq' 'bin'
 'Ziyyad' ""'"" 'but' 'u' 'turned' 'out' 'to' 'be' 'a']","['en' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'rest' 'en' 'en' 'en'
 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en'
 'en' 'en' 'en' 'en']","['X' 'X' 'X' 'X' 'X' 'PRON' 'DET' 'NOUN' 'X' 'PRON' 'VERB' 'VERB' 'ADP'
 'DET' 'ADJ' 'NOUN' 'X' 'PROPN' 'PROPN' 'PROPN' 'X' 'CONJ' 'PRON' 'VERB'
 'PART' 'PART' 'VERB' 'DET']"
228,"['We' 'have' 'a' 'problem' 'with' ""'"" 'Taimur' ""'"" '.' ""Nirbhaya's""
 ""rapist's"" 'name' 'was' 'Ram' 'Singh' '.' '""' 'naam' 'mai' 'kya' 'rakha'
 'hai' ',' 'kaam' 'achhe' 'ho' '""' '@npsrajput' '@OfficeOfRG']","['en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'rest' 'en' 'en'
 'en' 'rest' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi'
 'hi' 'hi' 'rest' 'rest' 'rest']","['PRON' 'VERB' 'DET' 'NOUN' 'ADP' 'X' 'PROPN' 'X' 'X' 'PROPN' 'NOUN'
 'NOUN' 'VERB' 'PROPN' 'PROPN' 'X' 'X' 'NOUN' 'ADP' 'PRON_WH' 'VERB'
 'VERB' 'X' 'NOUN' 'PART' 'VERB' 'X' 'X' 'X']"
229,"['@chintskap' 'Koi' 'bhi' 'naam' 'achha' 'ya' 'bura' 'nahi' 'hota' '!' '""'
 'Taimur' '""' 'is' 'a' 'new' 'born' 'baby' '....' 'Let' 'him' 'live' 'his'
 'life' '!!']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest' 'rest'
 'rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest']","['X' 'DET' 'PART' 'NOUN' 'PART' 'CONJ' 'ADJ' 'PART_NEG' 'VERB' 'X' 'X'
 'PROPN' 'X' 'VERB' 'DET' 'ADJ' 'NOUN' 'NOUN' 'X' 'VERB' 'PRON' 'ADJ'
 'PRON' 'NOUN' 'X']"
230,"['@DuttRdutt' '@iamTribalKhan' '@mamtara14' '@chintskap' 'tune' 'sale'
 'dekha' 'hai' 'kya' 'taimur' 'ko' '??' 'Then' 'why' 'the' 'fuck' 'do'
 'you' 'care' '!!' 'Go' 'fuck' 'yourself' 'loner']","['rest' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'rest'
 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en']","['X' 'X' 'X' 'X' 'VERB' 'NOUN' 'VERB' 'VERB' 'PRON_WH' 'PROPN' 'ADP' 'X'
 'ADV' 'PRON_WH' 'DET' 'VERB' 'VERB' 'PRON' 'VERB' 'X' 'VERB' 'VERB'
 'PRON' 'NOUN']"
231,"['Wah' 'Sahab' '!' 'Jab' 'Anglicised' 'Nawabon' 'ke' 'yaha' ""'"" 'Iron-Man'
 ""'"" 'aata' 'hai' '!' 'Taimur' 'is' 'a' 'Muslim' 'name' 'for' 'boys'
 'meaning' 'Iron' '.' '#HistoryNOW' '@Babu_Bhaiyaa']","['hi' 'hi' 'rest' 'hi' 'en' 'hi' 'hi' 'hi' 'rest' 'rest' 'rest' 'hi' 'hi'
 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest'
 'rest']","['PART' 'NOUN' 'X' 'ADV' 'ADJ' 'NOUN' 'ADP' 'ADV' 'X' 'PROPN' 'X' 'VERB'
 'VERB' 'X' 'PROPN' 'VERB' 'DET' 'ADJ' 'NOUN' 'ADP' 'NOUN' 'NOUN' 'NOUN'
 'X' 'X' 'X']"
232,"['@Lord_Dothraki' '@chintskap' 'gaali' 'denge' '?' 'Use' 'block' 'feature'
 'n' 'tell' 'waise' 'mujhe' 'bhi' 'naam' 'pasand' 'nahin' 'aaya' ',' 'so'
 'my' ""son's"" 'name' 'is' 'not' 'taimur']","['rest' 'rest' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest']","['X' 'X' 'NOUN' 'VERB' 'X' 'VERB' 'VERB' 'NOUN' 'CONJ' 'VERB' 'ADV' 'PRON'
 'PART' 'NOUN' 'VERB' 'PART_NEG' 'VERB' 'X' 'CONJ' 'PRON' 'ADJ' 'NOUN'
 'VERB' 'PART_NEG' 'PROPN']"
233,"['Why' 'this' 'debate' 'over' 'the' 'name' 'Taimur' '???' 'Tum' 'Sab' 'ko'
 'kya' 'problem' 'hai' 'parents' 'ki' 'marzi' 'kuch' 'bhi' 'rakhenge' '.!'
 'Stop' 'making' 'it' 'a' 'national' 'issue' '!']","['en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'en' 'hi'
 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest']","['PRON_WH' 'DET' 'NOUN' 'ADP' 'DET' 'NOUN' 'PROPN' 'X' 'PRON' 'DET' 'ADP'
 'PRON_WH' 'NOUN' 'VERB' 'NOUN' 'ADP' 'NOUN' 'DET' 'PART' 'NOUN' 'X'
 'VERB' 'VERB' 'PRON' 'DET' 'ADJ' 'NOUN' 'X']"
234,"['@Mrweedu' 'main' 'maa' 'ki' 'gaali' 'nahin' 'deta' 'hoon' '...' 'ye'
 'tum' 'pakiyon' 'ka' 'kaam' 'hai' '...' 'case' 'in' 'point' '--'
 '#Taimur' '#TaimurAliKhan' '..' 'u' 'all' 'inbred' 'cousins' '!']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi'
 'hi' 'rest' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en'
 'en' 'rest']","['X' 'ADP' 'NOUN' 'ADP' 'NOUN' 'PART_NEG' 'VERB' 'PROPN' 'X' 'DET' 'PRON'
 'NOUN' 'ADP' 'NOUN' 'VERB' 'X' 'NOUN' 'ADP' 'NOUN' 'X' 'X' 'X' 'X' 'PRON'
 'DET' 'ADJ' 'NOUN' 'X']"
235,"['Taimur' 'Ali' 'Khan' 'mar' 'kyun' 'nehi' 'jata' '?' 'I' 'hope' 'these'
 'kind' 'of' 'thnkng' 'is' 'nt' 'a' 'modern' 'phenomena' ',' 'b4' 'we'
 'were' 'nt' 'heard' 'them' 'bt' 'nw' 'this' 'is' 'our' 'world']","['rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'en'
 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'en' 'en' 'en' 'en']","['PROPN' 'PROPN' 'PROPN' 'VERB' 'PRON_WH' 'PART_NEG' 'VERB' 'X' 'PRON'
 'VERB' 'DET' 'NOUN' 'ADP' 'NOUN' 'VERB' 'PART_NEG' 'DET' 'ADJ' 'NOUN' 'X'
 'ADP' 'PRON' 'VERB' 'PART_NEG' 'VERB' 'PRON' 'CONJ' 'ADV' 'DET' 'VERB'
 'PRON' 'NOUN']"
236,"['@STajim' '@batshamitesh' '@chintskap' 'taimur' 'naam' 'ka' 'koi'
 'jebkatra' 'hota' 'to' 'koi' 'mind' 'nahi' 'karta' '.' 'Taimur' 'is' 'a'
 'villain' 'of' 'gargantuan' 'proportion']","['rest' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'hi'
 'hi' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en']","['X' 'X' 'X' 'PROPN' 'NOUN' 'ADP' 'DET' 'NOUN' 'VERB' 'PART' 'DET' 'VERB'
 'PART_NEG' 'VERB' 'X' 'PROPN' 'VERB' 'DET' 'NOUN' 'ADP' 'ADJ' 'NOUN']"
237,"['Saif' 'Ali' 'Khan' 'reveals' 'how' 'Kareena' 'Kapoor' 'reacted' 'when'
 'baby' 'Taimur' 'Ali' ""Khan's"" 'pic' 'went' 'viral' '-' 'Zee' 'News'
 'https://t.co/jVWTiJhZq5' 'https://t.co/AWeS9JP61D']","['rest' 'rest' 'rest' 'en' 'en' 'rest' 'rest' 'en' 'en' 'en' 'rest' 'rest'
 'rest' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'rest']","['PROPN' 'PROPN' 'PROPN' 'NOUN' 'PRON_WH' 'PROPN' 'PROPN' 'VERB' 'ADV'
 'NOUN' 'PROPN' 'PROPN' 'PROPN' 'NOUN' 'VERB' 'ADJ' 'X' 'PROPN' 'PROPN'
 'X' 'X']"
238,"['Taimur' 'Ali' 'Khan' 'Pataudi' 'is' 'a' 'beautiful' 'baby' 'and' 'both'
 'mother' 'and' 'son' 'are' 'doing' 'very' 'well-' '@sakpataudi'
 'https://t.co/lVYFW9XCT0']","['rest' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'en' 'en' 'en' 'rest' 'rest']","['PROPN' 'PROPN' 'PROPN' 'PROPN' 'VERB' 'DET' 'ADJ' 'NOUN' 'CONJ' 'ADJ'
 'ADJ' 'CONJ' 'NOUN' 'VERB' 'VERB' 'ADV' 'ADJ' 'X' 'X']"
239,"['RT' '@PandeyShivya' ':' 'What' 'a' 'joke' 'Family' '-Royal' 'Name' '-'
 'rikshawala' 'types' '-' 'Taimur' 'Family' 'ke' 'position' 'ka' 'toh'
 'khyal' 'Kiya' 'hota']","['rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'hi' 'en'
 'rest' 'rest' 'en' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'hi']","['X' 'X' 'X' 'PRON_WH' 'DET' 'NOUN' 'NOUN' 'ADJ' 'NOUN' 'X' 'NOUN' 'NOUN'
 'X' 'PROPN' 'NOUN' 'ADP' 'NOUN' 'ADP' 'PART' 'NOUN' 'VERB' 'VERB']"
240,"['Karan' 'Johar' 'hits' 'out' 'at' 'trolls' 'on' 'Kareena' 'Kapoor' 'Khan'
 'and' 'Saif' 'Ali' ""Khan's"" 'newborn' 'Taimur' 'Ali' 'Khan' 'Pataudi'
 'https://t.co/wbwzDoYBdP']","['rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'en' 'rest'
 'rest' 'rest' 'en' 'rest' 'rest' 'rest' 'rest' 'rest']","['PROPN' 'PROPN' 'VERB' 'PART' 'ADP' 'NOUN' 'ADP' 'PROPN' 'PROPN' 'PROPN'
 'CONJ' 'PROPN' 'PROPN' 'PROPN' 'ADJ' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'X']"
241,"['*' 'Kareena' '(' 'on' 'phone' ')' 'giving' 'directions' 'to' 'her'
 'friend' 'to' 'reach' 'the' 'hospital' '""' 'Han' '..' 'pehle' 'daimur'
 '...' 'seedha' 'aake' 'baimur' '...' 'Aur' 'bass' 'fir' 'Taimur' '!!' '""']","['rest' 'rest' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'en' 'rest' 'hi' 'rest' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi'
 'hi' 'hi' 'rest' 'rest' 'rest']","['X' 'PROPN' 'X' 'ADP' 'NOUN' 'X' 'VERB' 'NOUN' 'PART' 'PRON' 'NOUN'
 'PART' 'VERB' 'DET' 'NOUN' 'X' 'PART' 'X' 'ADV' 'VERB' 'X' 'ADJ' 'PART'
 'PROPN' 'X' 'CONJ' 'NOUN' 'ADV' 'PROPN' 'X' 'X']"
242,"['Padm' 'sri' 'Saif' 'ALI' 'khan' 'and' 'the' 'star' 'of' 'Kapoor'
 'khandan' 'Kareena' 'names' 'their' 'first' 'child' 'as' 'Taimur' '.']","['hi' 'hi' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'rest' 'hi' 'rest'
 'en' 'en' 'en' 'en' 'en' 'rest' 'rest']","['NOUN' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'CONJ' 'DET' 'NOUN' 'ADP' 'PROPN'
 'DET' 'PROPN' 'NOUN' 'PRON' 'ADV' 'NOUN' 'ADP' 'PROPN' 'X']"
243,"['Chote' 'Nawab' ""Taimur's"" 'first' 'vacation' 'with' 'parents' 'Kareena'
 'Kapoor' 'and' 'Saif' 'Ali' 'Khan' '-' 'News' 'https://t.co/0sRwVXRAf4'
 'https://t.co/dSXpDkvao3']","['hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest' 'en' 'rest' 'rest'
 'rest' 'rest' 'en' 'rest' 'rest']","['PART' 'PROPN' 'PROPN' 'ADV' 'NOUN' 'ADP' 'NOUN' 'PROPN' 'PROPN' 'CONJ'
 'PROPN' 'PROPN' 'PROPN' 'X' 'NOUN' 'X' 'X']"
244,"['Taimur' 'Ali' 'Khan' 'is' 'a' 'carbon' 'copy' 'of' 'mother' 'Kareena'
 'Kapoor' '.' 'Bollywood' 'star' 'kids' 'who' 'look' 'exactly' 'like'
 'parents' '...' 'https://t.co/9D8kgdwL4l']","['rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest'
 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest']","['PROPN' 'PROPN' 'PROPN' 'VERB' 'DET' 'NOUN' 'NOUN' 'ADP' 'ADJ' 'PROPN'
 'PROPN' 'X' 'PROPN' 'ADJ' 'NOUN' 'PRON_WH' 'VERB' 'ADV' 'ADP' 'NOUN' 'X'
 'X']"
245,"['*' 'LG' 'Resigned' '*' 'Kejriwal' 'said' 'Taimur' 'is' 'lucky' 'for'
 'our' 'country' 'ji' '..' 'ise' 'govt' 'ke' 'hawale' 'kar' 'diya' 'jaye'
 '.']","['rest' 'rest' 'en' 'rest' 'rest' 'en' 'rest' 'en' 'en' 'en' 'en' 'en'
 'hi' 'rest' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest']","['X' 'PROPN' 'VERB' 'X' 'PROPN' 'VERB' 'PROPN' 'VERB' 'ADJ' 'ADP' 'PRON'
 'NOUN' 'PART' 'X' 'VERB' 'NOUN' 'ADP' 'VERB' 'VERB' 'VERB' 'VERB' 'X']"
246,"['RT' '@kirthishanti' ':' 'Maybe' ""that's"" 'the' 'reason' 'enough' 'to'
 'hate' '""' 'Taimur' '""' '.' 'Tumne' 'hamare' 'guru' 'ke' 'guru' 'ko'
 'haraya' 'hai' '.' 'Ban' 'him' 'https://t.co/N9CNhPh7']","['rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest'
 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en'
 'rest']","['X' 'X' 'X' 'ADV' 'VERB' 'DET' 'NOUN' 'ADJ' 'PART' 'VERB' 'X' 'PROPN' 'X'
 'X' 'VERB' 'PRON' 'PROPN' 'ADP' 'PROPN' 'ADP' 'VERB' 'VERB' 'X' 'VERB'
 'PRON' 'X']"
247,"['KJo' 'hits' 'out' 'at' 'trolls' 'on' ""Saif-Bebo's"" 'child' '-' 'Kareena'
 'Kapoor' 'Khan' 'and' 'Saif' 'Ali' 'Khan' ',' 'who' 'welcomed' 'their'
 'first' 'b' '...' 'https://t.co/UPLS53tFO4']","['rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'rest' 'rest' 'rest' 'rest'
 'en' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest']","['PROPN' 'VERB' 'PART' 'ADP' 'NOUN' 'ADP' 'PROPN' 'NOUN' 'X' 'PROPN'
 'PROPN' 'PROPN' 'CONJ' 'PROPN' 'PROPN' 'PROPN' 'X' 'PRON_WH' 'VERB'
 'PRON' 'ADV' 'X' 'X' 'X']"
248,"['RT' '@BhutaniWg' ':' 'Sharmila' 'Tagore' 'Pataudi' ',' 'Saif' 'Ali'
 'Khan' '&' 'Karina' 'Kapoor' 'Khan' 'should' 'be' 'ASHAMED' 'that' 'they'
 'have' 'named' 'their' 'new' 'arrival' ',' 'a' 'hate']","['rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest'
 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'rest' 'en' 'en']","['X' 'X' 'X' 'PROPN' 'PROPN' 'PROPN' 'X' 'PROPN' 'PROPN' 'PROPN' 'CONJ'
 'PROPN' 'PROPN' 'PROPN' 'VERB' 'VERB' 'ADJ' 'PRON' 'PRON' 'VERB' 'VERB'
 'PRON' 'ADJ' 'NOUN' 'X' 'DET' 'VERB']"
249,"['""' 'Pakistan-born' 'author' 'Tarek' 'Fatah' 'slams' 'Kareena' 'Kapoor'
 'Khan' 'and' 'Saif' 'Ali' 'Khan' 'for' 'naming' 'their' 'son' 'Taimur'
 '-' 'Times' 'https://t.co/M73N0ZYTTK']","['rest' 'rest' 'hi' 'rest' 'rest' 'en' 'rest' 'rest' 'rest' 'en' 'rest'
 'rest' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest' 'en' 'rest']","['X' 'X' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'CONJ'
 'PROPN' 'PROPN' 'PROPN' 'ADP' 'VERB' 'PRON' 'NOUN' 'PROPN' 'X' 'NOUN' 'X']"
250,"['RT' '@Watch_Bollywood' ':' 'Rishi' 'Kapoor' 'talks' 'about'
 ""Saif-Kareena's"" 'newborn' 'baby' 'boy' 'Taimur' 'Ali' 'Khan' ':' 'Rishi'
 'Kapoor' 'Rishi' 'Kapoor' 'https://t.co/V9or']","['en' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'rest'
 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest']","['X' 'X' 'X' 'PROPN' 'PROPN' 'NOUN' 'ADP' 'PROPN' 'ADJ' 'NOUN' 'NOUN'
 'PROPN' 'PROPN' 'PROPN' 'X' 'PROPN' 'PROPN' 'PROPN' 'PROPN' 'X']"
