idx,words,lid,ner
215,"['Lala' 'toh' 'gyo' '!!!' 'Afridi' 'roasted' 'by' '@imVkohli' '#IndvsPak'
 '#IndWins']",['hi' 'hi' 'hi' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest'],['O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O']
216,"['RT' '@insan_neha' ':' '@Gurmeetramrahim' '#MustWatchMSG' 'ur' 'Acting'
 'Papaa' '..' 'Masha' 'Allah' '..' 'Aattttt' '..' 'Sirraaa' 'No' 'words'
 'Papa' 'Love' 'You' '..' 'My' 'Papa' 'The' 'Great' 'mua']","['en' 'rest' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest' 'hi' 'hi' 'rest'
 'hi' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en'
 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
217,"['Naam' 'mein' 'hi' 'BT' 'hai' '.' 'Kaise' 'chalegi' 'BT' 'Brinjal'
 'India' 'mein' 'bc' '.']","['hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'rest' 'rest' 'rest' 'hi'
 'rest' 'rest']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O']
218,"['RT' '@iamsrk' ':' 'Kya' 'baat' 'hai' '...' 'Haryana' 'ka' 'Sher' 'aa'
 'gaya' '...' 'Sultan' 'Bhaijaan' 'https://t.co/PB8JynGyKf']","['en' 'rest' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest'
 'rest' 'rest' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'B-PERSON'
 'I-PERSON' 'O']"
219,"['RT' '@sheshnath99' ':' '1950' ':' 'Muktesvara' 'is' '10th' 'century'
 'Temple' 'of' 'Lord' 'Shiva' ',' 'Bhubaneshwar' '.' '#MahaShivratri'
 '#Mahadev' 'http://t.co/i7FRZzVX59' 'via' '@']","['en' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'rest' 'rest' 'hi' 'rest' 'rest' 'rest' 'en' 'en' 'rest']","['O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O'
 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O']"
220,['Time' 'for' 'another' 'wicket' 'india' '!' '#IndvsSA'],['en' 'en' 'en' 'en' 'rest' 'rest' 'rest'],['O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O']
221,"['@spanikkal' '@ankitlal' '@chetan_bhagat' 'kya' 'bhigo' 'Ke' 'mara' 'hi'
 'sir' 'chetan' 'Ke' ',' 'super' 'se' 'uppar' 'Wala' 'shot']","['rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en'
 'hi' 'en' 'hi' 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
222,"['RT' '@OYERJALOK' ':' 'And' 'the' 'Rockkkkk' 'is' 'Cookingggggggg'
 '@TheRock' 'with' '@priyankachopra' 'while' '#Baywatch' 'film' 'Shoot'
 '.' '@baywatchmovie' '#RjAlok' 'https://']","['en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'en' 'rest' 'en' 'rest' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
223,"['Happy' ""Women's"" 'day' 'to' 'wuss' 'Rahul' 'Gandhi' '.' '#WomensDay']",['en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'en'],['O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O']
224,"['RT' '@BCCI' ':' 'Dear' '@virendersehwag' 'pa' ',' 'can' 'you' 'please'
 'get' 'Nehra' 'ji' 'on' 'social' 'media' '?' 'https://t.co/3SsWb5hj0h']","['en' 'rest' 'rest' 'en' 'en' 'hi' 'rest' 'en' 'en' 'en' 'en' 'rest' 'hi'
 'en' 'en' 'rest' 'rest' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O'
 'O' 'O']"
225,"['Aa' 'Gaye' 'harami' 'pan' 'per' 'ye' 'he' 'hai' 'in' 'ke' 'jaat' 'aur'
 'kuch' 'nahi' 'AK' 'aap' 'sucche' 'ho' 'aur' 'such' 'ke' 'sath' 'Allah'
 'hai' '.' '#ModiFearsKejriwal']","['hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'rest' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
226,"['RT' '@RpG_89' ':' 'HAHAHHA' 'Arunachal' 'bhi' 'Gayi' '!!' 'Kamal'
 'khila' 'Arunachal' 'mein' ':D' 'https://t.co/Sra3yt9qap']","['en' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest'
 'en']",['O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O']
227,"['@takshak_speaks' 'Garmi' 'badh' 'gyi' 'hai' '..' 'Tu' 'bata' '..'
 'Tweet' 'like' 'karna' 'kab' 'shuru' 'karega' 'dobara']","['hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'rest' 'en' 'en' 'hi' 'hi' 'hi'
 'hi' 'hi']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORGANISATION' 'O' 'O' 'O' 'O' 'O'
 'O']"
228,['#MSGthoughts' 'wooooov' 'Salute' 'u' 'to' 'guru' 'ji' '@Gurmeetramrahim'],['en' 'en' 'en' 'en' 'hi' 'hi' 'hi' 'en'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
229,"['Happy' 'Mahashivratri' 'to' 'all' 'friends' '.' 'maulik' '.' 'mb'
 'raj_n_ish' 'ajay_vora' 'rajdeepsinhjadeja75' 'jaydipjarsaniya'
 'http://t.co/z8O7i59iUc']","['en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'hi' 'rest' 'rest' 'rest'
 'hi' 'rest']",['O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
230,"['#mahi' 'paai' ',' 'tussi' 'great' 'ho' '...' '#tofu' 'kabool' 'karo']",['rest' 'hi' 'rest' 'hi' 'en' 'hi' 'rest' 'rest' 'hi' 'hi'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
231,"['@Gurmeetramrahim' '#MustWatchMSG' 'Thankyouuu' 'Soo' 'Muchh' 'Papaa'
 'For' 'Everything' '...' 'Hamesha' 'Sath' 'Rehna' 'Pa' 'Aapke' 'Bina'
 'Mera' 'Koi' 'Nai' 'Hai' '..' 'Love' 'You' '..']","['en' 'en' 'en' 'en' 'rest' 'rest' 'en' 'en' 'rest' 'hi' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'en' 'en' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
232,['Raina' 'ne' 'Rain' 'laga' 'di' 're' 'bawa' '#IndvsPak'],['rest' 'hi' 'en' 'hi' 'hi' 'hi' 'hi' 'rest'],['B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
233,"['Sub' 'Lok' 'Ek' 'Particular' 'day' 'pe' 'hi' 'kyu' 'Bhagwanji' 'ko'
 'Yaadh' 'karte' 'hai' '#MahaShivratri' '#Ramnavmi' '#ganeshChaturthi'
 '#hanumanjayanti']","['hi' 'hi' 'hi' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest'
 'rest' 'hi' 'rest']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
234,"['Jammu' ',' 'Bhutan' ',' 'Nepal' ',' 'Laddakh' '.' 'Too' 'much'
 'adventure' '.' 'Samajh' 'nahi' 'aata' 'Motabhai' 'PM' 'bane' 'hain' 'ya'
 'Roadie' '.' ';)' 'king' 'awesome' '""' 'muhaaaaaaaaaa']","['rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'rest' 'en' 'en' 'en'
 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest' 'en'
 'en' 'rest' 'hi']","['B-PLACE' 'O' 'B-PLACE' 'O' 'B-PLACE' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
235,"['@itsSSR' '@anky1912' 'awwww' 'happy' 'birthday' 'ankita' 'lokhande' 'na'
 'kar' 'ke' 'Chutti' 'li' 'h' '#RahulOnLeave' '#' '@balliawalebaba'
 '@choriketweet' '-AD']","['en' 'rest' 'rest' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en'
 'rest' 'rest' 'en' 'rest']","['O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']"
236,"[""Don't"" 'knw' 'whos' 'gonna' 'win' '#WT20' 'but' 'Afghanistan' 'already'
 'won' 'hearts' 'of' 'the' 'billions' '...' 'afghan' 'jalebi' 'hahaha'
 '#WIvsAFG' '#AFGvWI' '#Cricket']","['en' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'en'
 'rest' 'hi' 'hi' 'rest' 'en' 'en' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
237,"['@jalanpurvi' '@StarMoviesIndia' 'i' 'wish' 'ke' 'aap' 'aur' 'main' 'ye'
 'contest' 'jeete']",['rest' 'rest' 'en' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'hi'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
238,"['You' 'are' 'wrong' 'Kanhaiya' '!' '2002' 'Gujarat' 'Riots' 'and' '1984'
 'Sikh' 'Riots' 'are' 'Different' ':' 'Kanhaiya' 'https://t.co/AFOWxmloWT']","['en' 'en' 'en' 'hi' 'rest' 'rest' 'rest' 'en' 'en' 'rest' 'hi' 'en' 'en'
 'en' 'rest' 'hi' 'en']","['O' 'O' 'O' 'B-PERSON' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-PERSON' 'O']"
239,"['@KhanMobeena' 'Kitni' 'Ajeeb' 'hai' 'Gunaaho' 'ki' 'Justuju' '#Iqbal'
 '..!' 'Namaaz' 'bhi' 'jaldi' 'main' 'padtey' 'hain' 'log' 'phir' 'se'
 '#gunaah' 'karne' 'k' 'liye' '..!']","['hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi'
 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
240,"['RT' '@Yamininisha30' ':' 'Rahul' 'Gandhi' 'to' 'videshi' 'jata' 'rahana'
 'hai' ',' 'is' 'baar' 'vacations' 'ki' 'baat' ',' 'kuchh' 'daal' 'me'
 'kala' 'hai' '#RahulOnLeave']","['en' 'rest' 'rest' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi'
 'en' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'en']","['O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
241,"['#RailBudget2015' '#PrabhuKiRail' '""' 'Prabhu' 'der' 'aaye' 'par'
 'durust' 'aaye' '""' 'This' 'budget' 'is' 'a' 'revolution' 'in' 'Modern'
 'Indian' 'Railways' '.']","['rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi' 'en' 'hi' 'rest' 'en' 'en' 'en'
 'en' 'en' 'en' 'en' 'rest' 'en' 'rest']","['O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-ORGANISATION' 'I-ORGANISATION' 'O']"
242,"['@Sadafawanvk' '@aliaa08' '@iamsrk' '@ParineetiChopra' 'wow' 'wow'
 'mujhe' 'bulaye' 'v' 'nhi']",['rest' 'rest' 'rest' 'en' 'en' 'en' 'hi' 'hi' 'hi' 'hi'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
243,"['#TanuWedsManuReturns' '(@' 'PVR' 'Cinemas' 'in' 'Pune' ',' 'Maharashtra'
 ')' 'https://t.co/eYJWQl4G4j']",['en' 'rest' 'en' 'en' 'en' 'hi' 'rest' 'hi' 'rest' 'en'],"['O' 'O' 'B-ORGANISATION' 'I-ORGANISATION' 'O' 'B-PLACE' 'O' 'B-PLACE' 'O'
 'O']"
244,"['To' 'all' 'Kashir' 'Panun' 'Herath' 'Mubarak' '.' 'Happy'
 'Mahashivratri' 'to' 'All' '.' 'Shiv' 'Shashwat' 'Hain' ',' 'Sthir'
 'Hain' ',' 'ShantSalone' 'Hai' ',' 'Utpatti' 'Ke' 'Data' ',' 'ShivShabhu']","['hi' 'en' 'hi' 'rest' 'en' 'rest' 'rest' 'en' 'en' 'en' 'en' 'rest' 'hi'
 'hi' 'hi' 'rest' 'en' 'hi' 'rest' 'hi' 'hi' 'rest' 'en' 'hi' 'hi' 'rest'
 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
245,"['Changed' 'the' 'channel' '!!' 'Watching' 'Chhota' 'Bheem' 'in' 'Pogo'
 '!!!' '#IndvsSA']",['en' 'en' 'en' 'rest' 'en' 'hi' 'hi' 'en' 'en' 'rest' 'rest'],['O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'B-ORGANISATION' 'O' 'O']
246,"['RT' '@bscamishra' ':' '..' 'Jaise' 'Delhi' 'waalon' 'ne' 'liya' 'tha'
 '..' 'Ab' 'kyon' 'kahte' 'ho' '#KejriwalSaySorry' '..'
 'https://t.co/LTwRdL77zf']","['en' 'rest' 'rest' 'rest' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi'
 'hi' 'hi' 'hi' 'en' 'rest' 'en']","['O' 'O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
247,"['RT' '@saswat28' ':' 'Famous' 'Shiva' 'Temple' 'of' '#Odisha' '.'
 '#MahaShivratri' '#' '""' '@poorbitour' ':' 'Kapilash' 'Temple' ','
 'Dhenkanal' ',' 'Odisha' '.' 'http://t.co/4Pws']","['en' 'rest' 'rest' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'rest' 'rest'
 'en' 'rest' 'hi' 'en' 'rest' 'rest' 'rest' 'rest' 'rest' 'en']","['O' 'O' 'O' 'O' 'B-PLACE' 'I-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-PLACE' 'I-PLACE' 'O' 'B-PLACE' 'O' 'B-PLACE' 'O' 'O']"
248,"['@205HiDeeps' 'arey' 'Ashuuu' 'sir' 'ki' 'khaas' ""'"" 'Twamily' ""'"" 'ki'
 'member' 'kyu' 'ni' 'baat' 'krungi' 'yar' '!' 'Kamaal' 'krte' 'ho' 'ap'
 'b']","['en' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest' 'en' 'rest' 'hi' 'en' 'hi' 'hi'
 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'hi' 'hi']","['O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
249,"['""' '@ATSBB' ':' 'Rithvik' 'Aur' 'Asha' 'ka' 'Havan' 'khas'
 'Mahashivratri' 'par' '..' 'dekhiyega' 'zarur' 'sirf' 'SBB' 'me' '2.30'
 'Baje' 'http://t.co/w5I8s8xw3C' '""' 'excited']","['rest' 'rest' 'rest' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'rest'
 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'en' 'rest' 'en']","['O' 'O' 'O' 'B-PERSON' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
250,"['@newslaundry' '@AbhinandanSekhr' 'awesome' 'interview' '.' '1st'
 'interview' 'whr' 'kanaihya' 'did' 'not' 'have' 'to' 'say-' 'sub'
 'judice' 'after' 'every' 'second' 'line']","['en' 'rest' 'en' 'en' 'rest' 'en' 'en' 'en' 'hi' 'en' 'en' 'en' 'hi' 'hi'
 'hi' 'en' 'en' 'en' 'en' 'en']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
251,"['RT' '@ATSBB' ':' 'Rithvik' 'Aur' 'Asha' 'ka' 'Havan' 'khas'
 'Mahashivratri' 'par' '..' 'dekhiyega' 'zarur' 'sirf' 'SBB' 'me' '2.30'
 'Baje' 'http://t.co/CvnXEQXAKO' '""' 'omgggggg']","['en' 'rest' 'rest' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'rest' 'hi'
 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'en' 'rest' 'en']","['O' 'O' 'O' 'B-PERSON' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
252,"['Mahashivratri' 'Rudrapujas' 'in' 'Pune' 'with' 'Swami' 'Pragyapadji' '.'
 'http://t.co/VHIGH5h5km']",['rest' 'rest' 'en' 'en' 'en' 'hi' 'hi' 'rest' 'rest'],['O' 'O' 'O' 'B-PLACE' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O']
253,"['Black' 'Suit' 'Punjabi' 'Video' 'Song' 'HD' 'Download' '2014' 'by'
 'Preet' 'Harpal' 'ft' '.' 'Fateh' 'http://t.co/zuQ8xpXttB']","['en' 'en' 'hi' 'en' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'en' 'rest' 'en'
 'en']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O']
254,"['@msteckchandani' '@BishanBedi' '@Rajini_rao63' 'Great' 'dialogue' 'from'
 'the' 'famous' '#MughaleAzam' 'Anarkali' 'to' 'Saheb-e' 'Alam']",['rest' 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'hi' 'hi' 'hi' 'hi'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'B-PERSON' 'I-PERSON']
255,"['#AfterTakingTwoPegs' 'Rahul' 'Gandhi' 'might' 'consider' 'himself' 'as'
 'Smriti' 'Irani' '.']",['en' 'en' 'rest' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest'],['O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O']
256,"['@askubusk' 'Happy' '#MahaShivratri' ':)' 'Krishna' 'shiva' 'devotee'
 'ku' 'wish' 'panradha' 'paatha' 'happy' 'ah' 'irukku' ':P']","['hi' 'en' 'rest' 'rest' 'rest' 'rest' 'en' 'hi' 'en' 'hi' 'hi' 'en' 'en'
 'en' 'rest']",['O' 'O' 'O' 'O' 'B-PERSON' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
257,"['Jb' 'ap' 'risk' 'pr' 'sawal' 'yaad' 'krke' 'jao' 'or' 'paper' 'me' 'wo'
 'sawal' 'lag' 'jae' '..' '*_*' '^_^' '#' '_']","['hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'en' 'hi' 'hi' 'hi' 'hi'
 'hi' 'rest' 'rest' 'rest' 'rest' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']"
258,"['It' 'was' 'a' 'conspiracy' 'against' 'us' '~' 'Saeed' 'Ajmal' 'Pehle'
 'seedhe' 'haath' 'se' 'bowl' 'daal' 'le' 'pagle' ',' 'fir' 'moo' 'kholna'
 '#Pakistan' '#IndvsPak']","['en' 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'rest' 'hi' 'hi' 'hi' 'hi'
 'en' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'hi' 'rest' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'I-PERSON' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
259,"['@Madan_Chikna' 'maine' 'to' 'pahile' 'hi' 'bola' 'tha' '...' 'ab' 'to'
 'retweet' 'karde' 'bhai' '...' 'tabhi' 'logo' 'ko' 'pata' 'chalega' '..'
 'tere' 'jaise' 'follower' 'kaha' 'hame' '..']","['rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'en' 'hi' 'hi'
 'rest' 'hi' 'hi' 'hi' 'hi' 'hi' 'rest' 'hi' 'hi' 'en' 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
260,"['RT' '@InternetHinduz' ':' '""' 'Sonia' 'ji' 'aap' 'corruption' 'karo' ','
 'hum' 'aapke' 'saath' 'hain' '""' '@INCIndia' 'workers'
 '#SoniaRahulHazirHo' 'https://t.co/o4eO3FeX4g']","['en' 'en' 'rest' 'rest' 'rest' 'hi' 'hi' 'en' 'hi' 'rest' 'hi' 'hi' 'hi'
 'hi' 'rest' 'rest' 'en' 'rest' 'en']","['O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']"
261,"['RT' '@IndiaHistorypic' ':' '1880s' ':' 'Kashi' 'Vishwanath' 'Temple' ','
 'Varanasi' ',' 'one' 'of' '12' 'Jyotirlingas' 'of' 'Lord' 'Shiva'
 '#MahaShivratri' 'http://t.co/J6L8Y4QmZb' '""']","['en' 'rest' 'rest' 'rest' 'rest' 'hi' 'en' 'en' 'rest' 'rest' 'rest' 'en'
 'en' 'en' 'en' 'en' 'en' 'rest' 'rest' 'en' 'rest']","['O' 'O' 'O' 'O' 'O' 'B-PLACE' 'I-PLACE' 'I-PLACE' 'O' 'B-PLACE' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O']"
262,"['RT' '@BT_India' ':' '#RailBudget2015' '""' 'Hey' 'Prabhu' ',' 'ye'
 'kaise' 'hoga' '?' '""' '@sureshpprabhu' 'cracks' 'jokes' 'in' 'speech'
 'http://t.co/xs560UjscX' '#BudgetBT' 'http://t' '.']","['en' 'rest' 'rest' 'rest' 'rest' 'en' 'rest' 'rest' 'hi' 'hi' 'hi' 'rest'
 'rest' 'rest' 'en' 'en' 'en' 'en' 'en' 'en' 'en' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
263,"['RT' '@iG_Butt' ':' 'Men' 'are' 'from' '""' 'send' 'your' 'pic' '""'
 'Women' 'are' 'from' '""' 'dekh' 'k' 'delete' 'kar' 'dena' '""']","['en' 'en' 'rest' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'rest' 'en' 'en'
 'en' 'rest' 'hi' 'hi' 'en' 'hi' 'hi' 'rest']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O']"
264,"['RT' '@ggiittiikkaa' ':' 'Kejriwal' 'sir' 'has' 'so' 'many' 'degrees' '.'
 'Yesterday' 'he' 'slammed' 'dharnas' '.' 'Today' 'he' 'took' '180'
 'degrees' 'and' 'sat' 'on' 'dharna' 'himself' 'http']","['en' 'hi' 'rest' 'hi' 'hi' 'hi' 'en' 'en' 'en' 'rest' 'en' 'en' 'en' 'hi'
 'rest' 'en' 'en' 'en' 'rest' 'en' 'en' 'hi' 'hi' 'hi' 'en' 'en']","['O' 'O' 'O' 'B-PERSON' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
265,"['Sbi' 'exited' 'h' 'k' 'pakistan' 'harega' '...' 'aree' 'ye' 'koi' 'nai'
 'baat' 'h' 'kya' '...' '#IndvsPak']","['hi' 'en' 'hi' 'hi' 'rest' 'hi' 'rest' 'en' 'hi' 'hi' 'hi' 'hi' 'hi' 'hi'
 'rest' 'rest']",['O' 'O' 'O' 'O' 'B-PLACE' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
