idx,words,ner
545,"['عشرة' 'آلاف' 'من' 'أهالي' 'قرية' 'ميت' 'حبيش' 'وقري' 'حولها' 'بالغربيه'
 'يرحبون' 'باحمد' 'شفيق' 'في' 'مؤتمر' 'شعبي' 'يناقش' 'شئون' 'الزراعه'
 'والفلاحين']","['O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'I-LOC' 'O' 'O' 'B-LOC' 'O' 'B-PER'
 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
546,"['المفروض' 'عشان' 'ابقى' 'وطنية' '..' 'اقول' 'القتل' 'ارادة' 'شعب' 'واحيي'
 'الداخلية' 'على' 'فضها' 'لاعتصام' 'بالقوة' '؟؟؟؟']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O']
547,"['أخي' 'العزيز' ':' 'إياك' 'أن' 'تتخيل' 'إني' 'لما' 'أعملك' 'بلوك' 'يعني'
 'عدم' 'إيماني' 'بحرية' 'الرأي' '.' 'بالعكس' 'أنا' 'بأميط' 'الأذى' 'عن'
 'طريقي' 'وإماطة' 'الأذى' 'عن' 'الطريق' 'صدقة']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
548,"['٦.' 'أرسلت' 'أيضا' 'تفنيدي' 'للخبر' 'المزعوم' 'كتابة' '،' 'ومع' 'ذلك'
 'نشر' 'ولم' 'يغير' '،' 'وكذلك' 'كان' 'الحال' 'منذ' 'يومين' 'بشأن' 'شائعة'
 'مشاركتي' 'في' 'وفد' 'سياسي' 'ذهب' 'إلى' 'بولندا']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC']"
549,['@DRmahmoud157' 'شكرا'],['O' 'O']
550,['حد' 'يطمنا' 'علي' '@sarahalsherif' 'يا' 'جماعة' '!'],['O' 'O' 'O' 'O' 'O' 'O' 'O']
551,['@ilgrandi' 'الله' 'يسلمك'],['O' 'B-PER' 'O']
552,['@__amany_' 'الله' 'يبارك' '@hikamidos'],['O' 'B-PER' 'O' 'O']
553,"['نقطة' 'ضعفي' 'الحلويات' '....' 'والمكسرات' '....' 'البشامل' '...' 'ال'
 '...' 'الاكل' 'عموما']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
554,"['إهدار' 'حقوق' 'العمال' 'مستمر' '،' 'وغياب' 'دور' 'الحكومة' 'في' 'حماية'
 'حقوقهم' 'أيضا' 'مستمر' '،' 'تسريح' 'عمال' 'اليومية' 'وعدم' 'تجديد'
 'عقود' '500' 'عامل' 'بشركة' 'شبكات' 'للغاز' 'نموذجا']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG' 'O']"
555,"['حسم' 'الإسلام' 'السياسي' 'أكثر' 'من' 'جولة' 'انتخابية' 'لصالحه' 'ووظف'
 'تنظيمه' 'الجيد' 'ورأسماله' 'الاجتماعي' '،' 'وأيضا' 'خلطه' 'الدين'
 'بالسياسة' '.' 'لذا' 'يحكم' 'الإسلاميون' 'الآن']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
556,"['كما' 'نشكر' 'كل' 'الشتامين' 'و' 'اصحاب' 'اتهامات' 'العمالة' '.' 'فانتم'
 'تشاهدون' ',' 'تدققون' 'ثم' 'تهاجمون' '.شكرا' 'لرفعكم' 'نسبة' 'المشاهدة'
 ':)']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']"
557,"['#شفيق' 'يجب' 'محاسبة' 'و' 'متابعة' 'جهات' 'الدولة' 'الخدمية' 'و' 'كل'
 'من' 'يخطئ' 'يعاقب' 'و' 'فورا' '...' 'حتي' 'لا' 'نعاني' 'من' 'سوء'
 'الخدمة']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
558,['بعد' 'قليل' 'سأكون' 'ضيف' 'منى' 'الشاذلي' 'إن' 'شاء' 'الله'],['O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'B-PER']
559,"['قبل' 'أي' 'موقف' 'حنجوري' 'تذكر' 'هذه' 'الحقيقة' 'الخالدة' '(إحنا' 'في'
 'السفحت' 'تحت' 'في' 'الفحت' ')' 'تعال' 'نشتغل' 'و' 'نبقى' 'مشرفين'
 'لديننا' 'وبلدنا' 'وبعدها' 'نخرس' 'المسيئين']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
560,"['وإعادة' 'انتخاب' 'مجلس' 'الشعب' 'واستفتاء' 'الشعب' 'على' 'إسقاط'
 'الإعلان' 'الدستوري' 'المكمل' 'وغيرها' 'من' 'الفرص' 'التي' 'سيؤيدها'
 'المدافعون' 'غد' 'الديمقراطية' 'والمدنية']","['O' 'O' 'B-ORG' 'I-ORG' 'O' 'B-GROUP' 'O' 'O' 'B-PROD' 'I-PROD' 'I-PROD'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
561,"['الديمقراطية' 'ليست' 'صندوق' 'انتخابات' 'فقط' 'وإلا' 'تحولت' 'الى'
 'دكتاتورية' 'الأغلبية' '،' 'لابد' 'من' 'ضمان' 'حقوق' 'الأقليات' 'من'
 'خلال' 'الدستور' 'والدفاع' 'عن' 'حقوقهم' 'بالمساواه']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-PROD' 'O' 'O' 'O' 'O']"
562,"['ستظل' 'قدرة' 'قيادات' 'الاخوان' 'على' 'الكذب' 'والتضليل' 'والدفاع' 'عن'
 'الباطل' '..' 'من' 'العجائب' '.' 'كيف' 'يمارسون' 'كل' 'هذه' 'الانتهازية'
 'ويتكلمون' 'باسم' 'الدين' '.الا' 'يخجلون']","['O' 'O' 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
563,"['@DAboelwafa' '@mhmodamr557' '@MonyRoNy22' 'ومش' 'صعبة' 'ان' 'الواحد'
 'يجيب' 'عربية' 'اصلا' 'في' 'طرق' 'كتيير' 'مشروعة' 'تحيبي' 'بيها' 'عربية'
 'كويسة']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
564,"['استئناف' 'شريف' 'فرج' 'و' 'محمود' 'عبد' 'الواحد' 'و' 'زملاءهم' 'اترفض'
 ':(']",['O' 'B-PER' 'I-PER' 'O' 'B-PER' 'I-PER' 'I-PER' 'O' 'O' 'O' 'O']
565,"['هل' 'في' 'بلد' 'في' 'العالم' 'فيها' 'الفوضى' 'المرورية' 'اللى' 'عندنا'
 'دى' '؟' 'تلاحم' 'بين' 'المشاة' 'و' 'العربيات' '..' 'الركن' 'فى' 'عرض'
 'الطريق' '...' 'غياب' 'لشرطة' 'المرور' '...']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'B-GROUP' 'I-GROUP' 'O']"
566,"['لا' 'خوف' 'علي' 'مصر' 'من' 'سيطرة' 'اي' 'تيار' 'لانه' 'لا' 'يوجد' 'تيار'
 'بقوة' 'هذا' 'الشعب' 'العظيم' 'الذي' 'قام' 'بالثوره']","['O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-EVENT']"
567,['توقفنا' 'عن' 'غسيل' 'الشوارع' 'بالماء' 'فقد' 'أصبحنا' 'نرويها' 'بالدماء'],['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
568,"['لقد' 'ذهب' 'رئيس' 'مصر' 'المنتخب' 'الى' 'لقاء' 'ملك' 'السعودية' 'التى'
 'تضم' 'سجونها' 'الف' 'معتقل' 'مصري' 'و' 'الجيزاوي' 'المحبوس' 'بغير'
 'محاكمة' 'عادلة' '.واجبه' 'ان' 'يفرج' 'عنهم' 'فورا']","['O' 'O' 'B-PER' 'B-LOC' 'O' 'O' 'O' 'B-PER' 'B-LOC' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
569,"['أم' 'أولادي' 'اسمها' 'ميشائلا' 'كيرر' 'وعلاقتي' 'بها' 'رائعة' 'وأولادي'
 'في' 'عيني' 'ولم' 'أكن' 'أبدا' 'في' 'أمانة' 'السياسات' 'ولم' 'يكن' 'لي'
 'إتصال' 'بجمال' 'مبارك' 'أو' 'غيره']","['O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O']"
570,"['كما' 'انتصرنا' 'في' '73' 'بعد' 'الهزيمة' '،' 'كلي' 'ثقة' 'أنه' 'يمكننا'
 'أن' 'نعبر' 'ببلدنا' 'المحن' 'بالتوحد' 'والاصرار' 'والنضال' 'من' 'أجل'
 'الحق' 'الذي' 'لا' 'يمكن' 'أن' 'ينازعنا' 'فيه' 'أحد']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
571,"['الحلول' 'الأمنية' 'القمعية' 'تنجح' 'على' 'المدى' 'القصير' 'ولكنها'
 'تؤدي' 'في' 'النهاية' 'لإسقاط' 'الأنظمة' 'الدكتاتورية' 'بمجرد' 'كسر'
 'الشعوب' 'لحاجز' 'الخوف']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
572,"['انا' 'مش' 'على' 'الحياد' '،' 'انا' 'ضد' 'الاخوان' 'وضد' 'عودة' 'النظام'
 'القديم' 'بتغيير' 'جلده' 'وضد' 'حكم' 'العسكر' '...' 'انا' 'مش' 'على'
 'الحياد' 'انا' 'مع' 'الحق' 'اللي' 'ضميرنا' 'صاحي' 'بيه']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
573,"['قام' 'الفريق' 'أحمد' 'شفيق' 'بزيارة' 'مسجد' 'سيدي' 'عبدالرحيم' 'القناوي'
 'واستقبله' 'مجموعة' 'كبيرة' 'من' 'الأشراف' 'بالهتاف' 'والترحيب']","['O' 'O' 'B-PER' 'I-PER' 'O' 'B-LOC' 'I-LOC' 'I-LOC' 'I-LOC' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
574,"['أنا' 'الآن' 'في' 'الطريق' 'الى' 'واشنطن' 'في' 'سلسلة' 'محاضرات' 'وسأكون'
 'على' 'اتصال' 'دائم' 'بزميليي' 'للمتابعة' 'الى' 'إن' 'أعود' 'الى'
 'القاهرة' 'إن' 'شاء' 'الله']","['O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'B-LOC' 'O' 'O' 'B-PER']"
575,"['ياريت' 'الناس' 'اللي' 'ماصدقت' 'تهيص' 'مع' 'الزيطة' 'اينشروا' 'المقال'
 'الاخير' 'اللي' 'فيه' 'الاعتذار' 'عن' 'السهو' 'و' 'الفيديو' 'اللي'
 'بيثبت' 'الكلام' 'ده' '#باسم_مش_حرامى']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
576,"['مصادر' 'تمويلنا' 'بالأسماء' 'موجودة' 'ومنشورة' 'ويتم' 'تحديثها'
 'باستمرار' '،' 'ونلتزم' 'بالحد' 'الأقصى' 'للتمويل' 'المحدد' 'من' 'الهيئة'
 'العليا' 'للانتخابات' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-GROUP'
 'I-GROUP' 'I-GROUP' 'O']"
577,"['منظمة' 'الوقفة' 'خلطت' 'بين' 'كتاب' 'إسماعيل' 'الأمين' 'الصادر' 'عن'
 'رياض' 'الريس' 'وبين' 'ترجمته' 'لكتاب' 'آخر' '.' 'وأنا' 'لم' 'أتبن'
 'وجهة' 'نظر' 'الامين' 'بل' 'عرضتها' 'هي' 'وغيرها']","['O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'B-ORG' 'I-ORG' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O']"
578,"['حياتنا' 'السياسية' 'بها' 'استقطابات' 'حادة' '.' 'بعض' 'من' 'صوتوا'
 'لحمدين' 'وأبو' 'الفتوح' 'سيصوتون' 'لمرسي' 'أو' 'شفيق' '،' 'وآخرون'
 'وأنا' 'بينهم' 'سنكون' 'في' 'معارضة' 'ديمقراطية']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'I-PER' 'O' 'B-PER'
 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
579,"['تجربة' 'الانتخابات' 'التونسية' 'النزيهة' 'واقبال' 'الشعب' 'التونسى'
 'على' 'ممارسة' 'حقه' 'فى' 'التصويت' 'يؤكد' 'نجاح' 'الثورة' 'التونسية' '.'
 'مبروك' 'يا' 'تونس' 'وعقبالك' 'يا' 'مصر' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-EVENT'
 'I-EVENT' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'B-LOC' 'O']"
580,"['قفل' 'المعبر' 'بينشط' 'السوق' 'السودا' 'و' 'الانفاق' 'والتجار' 'بيهربوا'
 'الوقود' 'من' 'مصر' '.' 'فالحل' 'هو' 'تخفيف' 'الحصار' 'لانه' 'مفيد'
 'للطرفين' 'مش' 'خنقهم' 'زيادة']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
581,"['انتقد' 'الحكومة' 'و' 'الرئاسة' 'كما' 'تريد' '؛قدم' 'برنامجا' 'منافسا'
 'تدخل' 'به' 'انتخابات' 'مجلس' 'النواب' 'التزم' 'بإطار' 'سياسي' 'نتحرك'
 'فيه' 'جميعا' 'واحقن' 'دماء' 'المصريين']","['O' 'B-GROUP' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
582,"['المصري' 'اليوم' '/' 'مؤشرات' 'أولية' '-' 'مصر' 'الجديدة' 'فئات' ':'
 'تقدم' 'واضح' 'لعمرو' 'حمزاوي' 'على' 'منافسه' 'محمد' 'سعد' 'أبوالعزم'
 'مرشح' 'حزب' 'الحرية' 'والعدالة']","['B-TITLE' 'I-TITLE' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'O' 'O' 'O' 'O'
 'B-PER' 'I-PER' 'O' 'O' 'B-PER' 'I-PER' 'I-PER' 'O' 'B-ORG' 'I-ORG'
 'I-ORG']"
583,['@egyengi' 'حسبي' 'الله' 'ونعم' 'الوكيل'],['O' 'O' 'B-PER' 'O' 'O']
584,"['بيبهرني' 'صمود' 'مؤلفي' 'نظريات' 'المؤامرة' '،' 'عندهم' 'قدرة' 'إبداعية'
 'على' 'تعديل' 'مسار' 'نظرياتهم' 'الفاشلة' 'كلما' 'تعدل' 'مسار' 'الأحداث'
 'معتمدين' 'على' 'إن' 'الناس' 'بتنسى']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O']"
585,"['#الرئيس' 'محمد' 'مرسي' ':' 'لا' 'يوجد' 'بيت' 'في' 'مصر' 'لم' 'يشارك'
 'في' 'ثورة' '25' 'يناير']","['O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'B-EVENT'
 'I-EVENT' 'I-EVENT']"
586,"['تويتة' 'نحن' 'لن' 'نركع' 'فقط' 'سنفلقس' 'كتبتها' 'في' 'المعصرة' 'فبراير'
 'اللي' 'فات' 'بعد' 'تصريح' 'الجنزوري' 'ورسم' 'معاها' 'عمرو' 'سليم' 'رسمة'
 'فظيعة' 'ياريت' 'حد' 'يسكانها' 'وينزلها']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-TITLE' 'B-TIME' 'O' 'O' 'O' 'O'
 'B-PER' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O']"
587,"['#شفيق' ':' 'اهنئكم' 'جميعا' 'بالانتخابات' 'التاريخية' '..' 'الحرة' '..'
 'التي' 'شهد' 'لها' 'الجميع' '..' 'قررتم' 'خلالها' 'ان' 'مصر' 'لن' 'تعود'
 'الي' 'الوراء']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'B-LOC' 'O' 'O' 'O' 'O']"
588,"['دخلت' 'على' 'المواقع' 'الاجنبية' 'اللي' 'بتتكلم' 'عن' 'عبور' 'المدمرات'
 'الصينية' 'ومعظمها' 'ناقل' 'من' 'الجرايد' 'والمواقع' 'المصرية' '.' 'صفار'
 'بلا' 'حدود']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O']"
589,"['الليلة' 'إن' 'شاء' 'الله' 'موعد' 'حلقتي' 'الأسبوعية' 'من' 'برنامج' 'على'
 'مسؤوليتي' '/' 'الجزيرة' 'مباشر' 'مصر' '/' 'الساعة8' ':' '30' 'مساء']","['O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'B-TITLE' 'I-TITLE' 'I-TITLE' 'O'
 'B-TITLE' 'I-TITLE' 'I-TITLE' 'O' 'O' 'O' 'O' 'O']"
590,"['تعليقاً' 'على' 'المؤتمر' 'الصحفى' 'الذى' 'يعقده' 'الآن' 'أحمد' 'شفيق'
 'المرشح' 'الرئاسى' 'بحضور' 'وسائل' 'الإعلام' 'الدعاية' 'لنفسه' 'ونقلته'
 'قناة' 'الحياة' 'على' 'الهواء' 'مباشرة' '1']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'I-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'B-TITLE' 'I-TITLE' 'O' 'O' 'O' 'O']"
591,"['سعيت' 'مع' 'البعض' 'من' 'الناشطين' 'في' 'الحياة' 'السياسية' 'إلى'
 'إقناع' 'القوى' 'الوطنية' 'على' 'اختلاف' 'أطيافها' 'بضرورة' 'التوصل'
 'لقائمة' 'موحدة']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
592,"['البعض' 'يستخدم' 'وسائل' 'الإعلام' 'للتحريض' 'على' 'العنف' 'ومن' 'يثبت'
 'تورطه' 'فلن' 'يفلت' 'من' 'العقاب' 'فكل' 'من' 'شارك' 'فى' 'التحريض' 'هو'
 'مشارك' 'فى' 'الجريمة' '#الرئيس']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O']"
593,"['4.' 'وقعت' 'بعض' 'الأخطاء' 'كعدم' 'دمج' 'الشباب' 'وسيصححها' 'الرئيس' '،'
 'ولكن' 'ليس' 'مثلا' 'تكفير' 'المعارضين' 'وانتهاكات' 'الحقوق' 'والعبث'
 'بسيادة' 'القانون' 'والدستور' 'المشوه']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'B-PROD' 'O']"
594,"['نطالب' 'حكومة' 'ميانمار' 'بتحمل' 'مسئولياتها' 'إزاء' 'الأوضاع'
 'المتردية' 'فى' 'ولاية' 'راكين' 'وعلى' 'الأمم' 'المتحدة' 'والمجتمع'
 'الدولى' 'أن' 'يكيلا' 'بمكيال' 'واحد']","['O' 'B-GROUP' 'I-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'B-LOC' 'I-LOC' 'O'
 'B-ORG' 'I-ORG' 'O' 'O' 'O' 'O' 'O' 'O']"
595,"['ضحكت' 'على' 'الفيديوهات' 'دي' 'و' 'اكتئبت' 'بعديها' '.' 'في' 'النهاية'
 'هؤلاء' 'يشوهون' 'دين' 'ربنا' '.' 'ماتستغربوش' 'من' 'كتر' 'اعداد'
 'المجاهرين' 'بالردة' 'قريبا']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O']"
596,['قال' 'لنا' 'عيد' 'الثورة' 'قلنا' 'له' 'آدينا' 'بنعيدها'],['O' 'O' 'O' 'B-EVENT' 'O' 'O' 'O' 'O']
597,"['في' 'رغبة' 'عند' 'كتير' 'مننا' 'دلوقتي' 'في' 'تصديق' 'أي' 'خبر' 'ضد'
 'الجيش' 'أو' 'المجلس' 'العسكري' '.' 'رأيي' 'نهدى' 'شوية' 'ونجمع'
 'الحقائق' 'وبعدين' 'نحكم' '.' 'بلاش' 'تسرع' 'أرجوكم' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'B-GROUP'
 'I-GROUP' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
598,"['لم' 'انتخب' 'مرسي' 'ودعوت' 'الى' 'مقاطعة' 'الانتخابات' 'في' 'مقال'
 'منشور' 'في' 'المصري' 'اليوم' 'لكنى' 'أتفهم' 'تماماً' 'موقف' 'الثوريين'
 'الذين' 'اضطروا' 'لانتخابه' 'حماية' 'للثورة']","['O' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-TITLE' 'I-TITLE' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
599,"['اقتحام' 'مباني' 'المحافظات' 'وحرق' 'مقرات' 'الأحزاب' 'وقطع' 'الطرق'
 'ومجموعات' 'ملثمة' 'تروع' 'المواطنين' '...' 'هل' 'هذا' 'هو' 'استكمال'
 'الثورة' '؟']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O']"
600,"['طب' 'سؤال' 'عبثي' 'شوية' ':' 'هو' 'مش' 'فيه' 'مرشحين' 'رئاسة' 'دخلوا'
 'الانتخابات' 'بتوكيلات' 'أعضاء' 'مجلس' 'الشعب' '؟' 'مش' 'المفروض'
 'انتخابات' 'الرئاسة' 'كده' 'برضه' 'تبقى' 'غير' 'دستورية' '؟']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG'
 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
601,"['بإرادتكم' 'وبعد' 'توفيق' 'الله' 'فنحن' 'ماضون' 'لمصر' 'الجديدة' '...'
 'فهل' 'أنتم' 'مستعدون' '؟' '#الرئيس']",['O' 'O' 'O' 'B-PER' 'O' 'O' 'B-LOC' 'O' 'O' 'O' 'O' 'O' 'O' 'O']
602,"['@kooro' 'وانتو' 'عارفين' 'اصلا' 'اناىبزعل' 'على' 'ايه' 'ومبزعلش' 'على'
 'ايه' '؟' 'ولا' 'متابعيني' 'اصلاولا' 'هي' 'مازيدة' 'وخلاص' '.' 'كفاية'
 'بقى' 'انتو' 'السبب' 'في' 'اللي' 'وصلناله']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'O' 'O' 'O']"
603,"['كيف' 'يعترض' 'البعض' 'على' 'الاعلان' 'الدستورى' 'ويتهمون' 'الرئيس'
 'بالتواطؤ' 'مع' 'العسكر' 'وقبول' 'الاعلان' 'وعندما' 'يبدأ' 'في' 'انتزاع'
 'سلطاته' 'من' 'العسكر' 'يغضبون' 'منه' '.']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-PER' 'O' 'O' 'B-GROUP' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'B-GROUP' 'O' 'O' 'O']"
604,"['المتحدث' 'باسم' 'الإخوان' ':' 'ساويرس' 'والعلمانيون' 'عادوا' 'للظلام'
 'لان' 'الشعب' 'لفظهم']",['O' 'O' 'B-GROUP' 'O' 'B-PER' 'O' 'O' 'O' 'O' 'O' 'O']
605,"['ينفي' 'الحزب' 'في' 'تصريحاته' 'المنشورة' 'غدا' 'ما' 'نشرته' 'الأهرام'
 'بشأن' 'لقائه' 'عناصر' 'استخباراتية' 'أجنبية' 'الأمر' 'الذي' 'يريد' 'به'
 'البعض' 'تشويه' 'الحزب' '#حزب' 'النور']","['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'O'
 'O' 'O' 'O' 'O' 'B-OTHER' 'B-ORG']"
606,"['نقاطي' 'الرئيسية' 'في' 'اجتماع' 'عقدته' 'بالأمس' 'مع' 'بعثة' 'صندوق'
 'النقد' 'الدولي' 'في' 'القاهرة' ':']",['O' 'O' 'O' 'O' 'O' 'O' 'O' 'O' 'B-ORG' 'I-ORG' 'I-ORG' 'O' 'B-LOC' 'O']
